patent_id,section_code,subclass
10554682,G,G06F
10554682,G,G06Q
10601890,G,G06F
10601890,H,H04L
10554693,H,H04L
10554693,H,H04W
10601908,H,H04L
10601908,G,G06F
10554712,H,H04L
10554712,G,G06F
10554712,H,H04N
10554712,H,H04R
10554712,H,H04S
10554749,H,H04L
10554749,G,G06F
10601972,H,H04M
10601972,H,H01R
10554767,H,H04L
10601991,H,H04M
10601991,G,G06F
10601991,G,G06Q
10601996,H,H04M
10601996,G,G10L
10601999,H,H04M
10601999,G,G06F
10601999,G,G06Q
10601999,H,H04W
10554797,H,H04M
10554797,G,G06F
10554797,G,G06V
10602018,H,H04N
10602019,H,H04N
10602019,G,G06V
10554809,H,H04M
10554809,H,H04W
10602050,H,H04N
10602050,G,G02B
10602050,H,H10F
10554853,H,H04N
10602082,G,G01D
10602082,G,G01R
10602082,H,H04N
10602086,G,G01S
10602086,H,H04N
10554871,H,H04N
10602114,H,H04N
10602114,A,A61B
10602114,G,G02B
10602114,G,G06F
10602114,G,G06T
10602114,G,G16Z
10602123,H,H04N
10602129,H,H04N
10602129,G,G01C
10602129,G,G06T
10602129,G,G06V
10602129,B,B64U
10554919,H,H04N
10554929,G,G07F
10554929,G,G06Q
10554929,G,G11B
10554929,H,H04L
10554929,H,H04N
10554931,G,G06T
10554931,G,G06F
10554931,G,G10L
10554931,H,H04N
10602168,H,H04N
10554971,H,H04N
10602170,H,H04N
10602172,H,H04N
10554982,H,H04N
10554985,H,H04N
10602213,H,H04N
10602213,H,H04L
10602213,H,H04W
10602214,H,H04N
10602223,H,H04N
10555031,H,H04N
10555046,H,H04N
10555046,H,H04L
10555046,H,H04W
10555095,H,H04R
10602291,H,H04S
10555095,A,A61F
10602291,G,G06F
10555095,A,A61N
10602291,G,G06V
10602291,H,H04R
10555111,H,H04W
10555111,H,H04L
10555135,H,H04W
10555140,H,H04W
10555140,G,G06Q
10555140,H,H04M
10602334,H,H04W
10602334,G,G06Q
10602334,G,G07F
10602334,H,H04L
10555145,H,H04L
10555145,H,H04W
10555146,H,H04W
10555146,G,G06F
10555153,H,H04W
10555153,H,H04L
10555160,H,H04W
10555160,Y,Y02D
10602357,H,H04W
10602357,G,G06F
10602357,H,H04L
10555178,H,H04W
10555182,H,H04W
10555182,H,H04L
10555189,H,H04W
10555189,H,H04L
10555198,H,H04W
10555198,H,H04L
10602421,H,H04W
10602421,H,H04L
10602421,H,H04M
10602421,G,G07C
10602421,H,H04Q
10602435,H,H04W
10555257,H,H04W
10555257,Y,Y02D
10555261,H,H04W
10555261,H,H04L
10555261,Y,Y02D
10555264,H,H03M
10555264,H,H04L
10555264,H,H04W
10602462,H,H04W
10602463,H,H04W
10602469,H,H04W
10555276,H,H04L
10555276,H,H04W
10555277,H,H04L
10555277,H,H04W
10555277,H,H04B
10555278,H,H04W
10555282,H,H04W
10555282,H,H04L
10602489,H,H04W
10602489,H,H04L
10602498,H,H04W
10602498,H,H04L
10602501,H,H04W
10602501,H,H04B
10602501,H,H04L
10555320,H,H04W
10555320,H,H04L
10555321,H,H04W
10555324,H,H04W
10555335,H,H04W
10555335,H,H04L
10602543,H,H04W
10602543,H,H04L
10555366,H,H04W
10602561,H,H04W
10602561,H,H04L
10602561,H,H04M
10555382,H,H05B
10555382,H,H01F
10602571,H,H05B
10555382,Y,Y02B
10555383,H,H05B
10555383,G,G01N
10555383,G,G08B
10602571,F,F01L
10555383,Y,Y02A
10555399,H,H05B
10555399,G,G06F
10555399,G,G06T
10555399,Y,Y02B
10555412,H,H05H
10555412,C,C23C
10555412,H,H01J
10555413,H,H05K
10555413,H,H02M
10555422,H,H05K
10555422,G,G06Q
10602610,H,H05K
10602610,H,H01L
10555432,H,H05K
10555432,G,G05B
